Sample in Buffer,Sample in Window,TRIGGER,w_dfi_address[25:0],w_dfi_bank[5:0],w_dfi_cas_n[1:0],w_dfi_cs_n[1:0],w_dfi_ras_n[1:0],w_dfi_rddata[63:0],w_dfi_rddata_en[1:0],w_dfi_rddata_valid[1:0],w_dfi_we_n[1:0],w_dfi_wrdata[63:0],w_dfi_wrdata_en[1:0],w_idelay_rdy,u_harness/w_dfi_rddata_dly[63:0],u_harness/w_rd_dbg_actual[63:0],u_harness/w_rd_dbg_expected[63:0],u_harness/w_rd_dbg_mismatch,u_harness/w_rd_dbg_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
3595,3595,0,0000270,05,2,2,3,0000000000000000,0,0,2,0248628ec4e2a5cb,3,1,58a0f1b49fe5ff1a,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3596,3596,0,0000274,05,2,2,3,58a0000000000000,0,0,2,8f1dec0549b72b40,3,1,0000000000000000,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3597,3597,0,0000278,05,2,2,3,58a0f1b49fe5371e,0,0,2,18e37f99de49b8dc,3,1,0000000000000000,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3598,3598,0,000027c,05,2,2,3,d62b7ce1116e371e,0,0,2,95b6f112531c3657,3,1,58a0000000000000,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3599,3599,0,0000000,00,3,3,3,45b7eb1f82f2ba4b,0,0,3,225b1535e4f1d270,0,1,58a0f1b49fe5371e,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3600,3600,0,0000000,00,3,3,3,cb3c664a0c792db5,0,0,3,225b1535e4f1d270,0,1,d62b7ce1116e371e,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3601,3601,0,0000000,00,3,3,3,628ec4e2a5cba0e0,0,0,3,225b1535e4f1d270,0,1,45b7eb1f82f2ba4b,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3602,3602,0,0000000,00,3,3,3,ec0549b72b400248,0,0,3,225b1535e4f1d270,0,1,cb3c664a0c792db5,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3603,3603,0,0000280,05,2,2,3,7f99de49b8dc8f1d,0,0,2,225b1535e4f1d270,3,1,628ec4e2a5cba0e0,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3604,3604,0,0000284,05,2,2,3,f112531c365718e3,0,0,2,af0e9bbe69a45cfb,3,1,ec0549b72b400248,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3605,3605,0,0000288,05,2,2,3,1535e4f1d27095b6,0,0,2,38f00822fe5acf67,3,1,7f99de49b8dc8f1d,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3606,3606,0,000028c,05,2,2,3,0000000000000000,0,0,2,b5a586a9730f41ec,3,1,f112531c365718e3,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3607,3607,0,0000290,05,2,2,3,0000000000000000,0,0,2,170d2f1bd1a7e85e,3,1,1535e4f1d27095b6,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3608,3608,0,0000294,05,2,2,3,1530000000000000,0,0,2,9a58a1905cf266d5,3,1,0000000000000000,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3609,3609,0,0000298,05,2,2,3,1535e4f1d270225b,0,0,2,0da6320ccb0cf549,3,1,0000000000000000,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3610,3610,0,000029c,05,2,2,3,9bbe69a45cfb225b,0,0,2,80f3bc8746597bc2,3,1,1530000000000000,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3611,3611,0,0000000,00,3,3,3,0822fe5acf67af0e,0,0,3,48f761698e5da62c,0,1,1535e4f1d270225b,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3612,3612,0,0000000,00,3,3,3,86a9730f41ec38f0,0,0,3,48f761698e5da62c,0,1,9bbe69a45cfb225b,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3613,3613,0,0000000,00,3,3,3,2f1bd1a7e85eb5a5,0,0,3,48f761698e5da62c,0,1,0822fe5acf67af0e,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3614,3614,0,0000000,00,3,3,3,a1905cf266d5170d,0,0,3,48f761698e5da62c,0,1,86a9730f41ec38f0,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
